Fiú / Lány;;Mesha;;;Vrishaba;;;Midhuna;;;Karka;;;Simha;;;Kanya;;;Tula;;;Vriscika;;;Dhanu;;;Makara;;;Kumbha;;;Meena;;;;;;;
;;Ashvini 1,2,3,4;Bharani 1,2,3,4;Krittika 1;Krittika 2,3,4;Rohini 1,2,3,4;Mrigashīrsha 1,2;Mrigashīrsha 3,4;Ardra 1,2,3,4;Punarvasu 1,2,3;Punarvasu 4;Pushya 1,2,3,4;Aslesha 1,2,3,4;Maghā 1,2,3,4;Pūrva Phalgunī 1,2,3,4;Uttara Phalgunī 1;Uttara Phalgunī 2,3,4;Hasta 1,2,3,4;Chitra 1,2;Chitra 3,4;Swāti 1,2,3,4;Vishakha 1,2,3;Vishakha 4;Anuradha 1,2,3,4;Jyeshtha 1,2,3,4;Mula 1,2,3,4;Purvashadha 1,2,3,4;Uttara Ashadha 1;Uttara Ashadha 2,3,4;Sravana 1,2,3,4;Dhanishta 1,2;Dhanishta 3,4;Shatabhisha 1,2,3,4;Purva Bhadrapada 1,2,3;Purva Bhadrapada 4;Uttara Bhadrapada 1,2,3,4;Revati 1,2,3,4;;;;;
Meena;Purva Bhadrapada 4;14;22;17;20;27;26;27;19;19;17;24;18;17;23;15;18;19;;;;;;;;;;;;;;;;;;;;;;;;
;Uttara Bhadrapada 1,2,3,4;24;16;19;22;26;17;17;27;27;25;18;20;18;16;26;29;27;;;;;;;;;;;;;;;;;;;;;;;;
;Revati 1,2,3,4;26;28;11;14;19;27;27;27;28;25;27;12;12;24;24;27;27;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-17;below avarage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18-25;avarae;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-27;fair;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27-32;good;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32-36;excellent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
